	ensID	symbol
0	ENSMUSG00000007777	0610009B22Rik
1	ENSMUSG00000086714	0610009E02Rik
2	ENSMUSG00000043644	0610009L18Rik
3	ENSMUSG00000042208	0610010F05Rik
4	ENSMUSG00000020831	0610010K14Rik
5	ENSMUSG00000089755	0610012D04Rik
6	ENSMUSG00000107002	0610012G03Rik
7	ENSMUSG00000046683	0610025J13Rik
8	ENSMUSG00000058706	0610030E20Rik
9	ENSMUSG00000099146	0610031O16Rik
10	ENSMUSG00000028608	0610037L13Rik
11	ENSMUSG00000097882	0610038B21Rik
12	ENSMUSG00000058812	0610039K10Rik
13	ENSMUSG00000089889	0610040B10Rik
14	ENSMUSG00000087341	0610040F04Rik
15	ENSMUSG00000060512	0610040J01Rik
16	ENSMUSG00000087361	0610043K17Rik
17	ENSMUSG00000097863	1010001B22Rik
18	ENSMUSG00000097222	1010001N08Rik
19	ENSMUSG00000090066	1110002E22Rik
20	ENSMUSG00000097134	1110002J07Rik
21	ENSMUSG00000071456	1110002L01Rik
22	ENSMUSG00000102531	1110002O04Rik
23	ENSMUSG00000106291	1110003F10Rik
24	ENSMUSG00000030663	1110004F10Rik
25	ENSMUSG00000107121	1110006O24Rik
26	ENSMUSG00000046119	1110008E08Rik
27	ENSMUSG00000021023	1110008L16Rik
28	ENSMUSG00000039195	1110008P14Rik
29	ENSMUSG00000045237	1110012L19Rik
30	ENSMUSG00000098659	1110015O18Rik
31	ENSMUSG00000028441	1110017D15Rik
32	ENSMUSG00000085151	1110018N20Rik
33	ENSMUSG00000097616	1110019D14Rik
34	ENSMUSG00000097047	1110020A21Rik
35	ENSMUSG00000068073	1110025L11Rik
36	ENSMUSG00000103520	1110025M09Rik
37	ENSMUSG00000085972	1110028F11Rik
38	ENSMUSG00000099139	1110028F18Rik
39	ENSMUSG00000037971	1110032A03Rik
40	ENSMUSG00000046999	1110032F04Rik
41	ENSMUSG00000099098	1110035H17Rik
42	ENSMUSG00000097036	1110036E04Rik
43	ENSMUSG00000092203	1110038B12Rik
44	ENSMUSG00000063236	1110038F14Rik
45	ENSMUSG00000085457	1110046J04Rik
46	ENSMUSG00000040591	1110051M20Rik
47	ENSMUSG00000068067	1110057P08Rik
48	ENSMUSG00000035171	1110059E24Rik
49	ENSMUSG00000032551	1110059G10Rik
50	ENSMUSG00000105036	1110060G06Rik
51	ENSMUSG00000078570	1110065P20Rik
52	ENSMUSG00000045414	1190002N15Rik
53	ENSMUSG00000043687	1190005I06Rik
54	ENSMUSG00000063320	1190007I07Rik
55	ENSMUSG00000087684	1200007C13Rik
56	ENSMUSG00000097290	1300002E11Rik
57	ENSMUSG00000033688	1300017J02Rik
58	ENSMUSG00000096221	1500002C15Rik
59	ENSMUSG00000097595	1500002F19Rik
60	ENSMUSG00000098912	1500004A13Rik
61	ENSMUSG00000104888	1500005C15Rik
62	ENSMUSG00000068099	1500009C09Rik
63	ENSMUSG00000087651	1500009L16Rik
64	ENSMUSG00000072694	1500011B03Rik
65	ENSMUSG00000097247	1500012K07Rik
66	ENSMUSG00000098702	1500015A07Rik
67	ENSMUSG00000094732	1500015L24Rik
68	ENSMUSG00000026051	1500015O10Rik
69	ENSMUSG00000097383	1500026H17Rik
70	ENSMUSG00000059631	1500035N22Rik
71	ENSMUSG00000043747	1520401A03Rik
72	ENSMUSG00000035595	1600002K03Rik
73	ENSMUSG00000101585	1600010M07Rik
74	ENSMUSG00000050088	1600012H06Rik
75	ENSMUSG00000047661	1600012P17Rik
76	ENSMUSG00000054676	1600014C10Rik
77	ENSMUSG00000094690	1600014C23Rik
78	ENSMUSG00000029813	1600015I10Rik
79	ENSMUSG00000065361	1600017P15Rik
80	ENSMUSG00000102505	1600017P15Rik
81	ENSMUSG00000099429	1600019K03Rik
82	ENSMUSG00000097048	1600020E01Rik
83	ENSMUSG00000104986	1600023N17Rik
84	ENSMUSG00000085114	1600025M17Rik
85	ENSMUSG00000057818	1600029O15Rik
86	ENSMUSG00000029182	1700001C02Rik
87	ENSMUSG00000047150	1700001C19Rik
88	ENSMUSG00000099419	1700001D01Rik
89	ENSMUSG00000095384	1700001F09Rik
90	ENSMUSG00000087170	1700001G01Rik
91	ENSMUSG00000085984	1700001G11Rik
92	ENSMUSG00000103746	1700001G17Rik
93	ENSMUSG00000095040	1700001J03Rik
94	ENSMUSG00000086135	1700001J04Rik
95	ENSMUSG00000101963	1700001J11Rik
96	ENSMUSG00000056508	1700001K19Rik
97	ENSMUSG00000075511	1700001L05Rik
98	ENSMUSG00000021534	1700001L19Rik
99	ENSMUSG00000106210	1700001N15Rik
100	ENSMUSG00000044320	1700001O22Rik
101	ENSMUSG00000018543	1700001P01Rik
102	ENSMUSG00000099391	1700003C15Rik
103	ENSMUSG00000085944	1700003D09Rik
104	ENSMUSG00000030030	1700003E16Rik
105	ENSMUSG00000095110	1700003E24Rik
106	ENSMUSG00000038523	1700003F12Rik
107	ENSMUSG00000085831	1700003G13Rik
108	ENSMUSG00000087621	1700003G18Rik
109	ENSMUSG00000039174	1700003H04Rik
110	ENSMUSG00000100372	1700003I22Rik
111	ENSMUSG00000101565	1700003L19Rik
112	ENSMUSG00000085389	1700003M07Rik
113	ENSMUSG00000102463	1700003N22Rik
114	ENSMUSG00000100727	1700003P14Rik
115	ENSMUSG00000027973	1700006A11Rik
116	ENSMUSG00000100274	1700006F04Rik
117	ENSMUSG00000102000	1700006H21Rik
118	ENSMUSG00000034764	1700006J14Rik
119	ENSMUSG00000102738	1700006P03Rik
120	ENSMUSG00000101234	1700007E05Rik
121	ENSMUSG00000100666	1700007F19Rik
122	ENSMUSG00000086330	1700007J10Rik
123	ENSMUSG00000026831	1700007K13Rik
124	ENSMUSG00000097318	1700007L15Rik
125	ENSMUSG00000086613	1700007M16Rik
126	ENSMUSG00000089730	1700007P06Rik
127	ENSMUSG00000103452	1700008A23Rik
128	ENSMUSG00000104872	1700008B11Rik
129	ENSMUSG00000106860	1700008H02Rik
130	ENSMUSG00000101225	1700008J07Rik
131	ENSMUSG00000101012	1700008K24Rik
132	ENSMUSG00000008028	1700008O03Rik
133	ENSMUSG00000069118	1700008P02Rik
134	ENSMUSG00000101404	1700009C05Rik
135	ENSMUSG00000096573	1700009J07Rik
136	ENSMUSG00000028287	1700009N14Rik
137	ENSMUSG00000057047	1700010B08Rik
138	ENSMUSG00000099958	1700010B13Rik
139	ENSMUSG00000071721	1700010D01Rik
140	ENSMUSG00000067101	1700010H22Rik
141	ENSMUSG00000100010	1700010I02Rik
142	ENSMUSG00000023873	1700010I14Rik
143	ENSMUSG00000100314	1700010J16Rik
144	ENSMUSG00000092599	1700010K23Rik
145	ENSMUSG00000085102	1700010K24Rik
146	ENSMUSG00000030636	1700010L04Rik
147	ENSMUSG00000101855	1700010N08Rik
148	ENSMUSG00000102099	1700011B04Rik
149	ENSMUSG00000031682	1700011L22Rik
150	ENSMUSG00000079476	1700011M02Rik
151	ENSMUSG00000029766	1700012A03Rik
152	ENSMUSG00000020617	1700012B07Rik
153	ENSMUSG00000031927	1700012B09Rik
154	ENSMUSG00000086482	1700012C08Rik
155	ENSMUSG00000085470	1700012C14Rik
156	ENSMUSG00000105023	1700012D16Rik
157	ENSMUSG00000101275	1700012E03Rik
158	ENSMUSG00000102069	1700012I11Rik
159	ENSMUSG00000103545	1700012J22Rik
160	ENSMUSG00000028589	1700012P22Rik
161	ENSMUSG00000106899	1700013A02Rik
162	ENSMUSG00000079346	1700013D24Rik
163	ENSMUSG00000027886	1700013F07Rik
164	ENSMUSG00000041399	1700013G24Rik
165	ENSMUSG00000054727	1700013H16Rik
166	ENSMUSG00000106586	1700013M08Rik
167	ENSMUSG00000085801	1700013N06Rik
168	ENSMUSG00000051054	1700014D04Rik
169	ENSMUSG00000105903	1700014F14Rik
170	ENSMUSG00000104908	1700015C17Rik
171	ENSMUSG00000079666	1700015F17Rik
172	ENSMUSG00000094445	1700015G11Rik
173	ENSMUSG00000097671	1700015O11Rik
174	ENSMUSG00000102737	1700016A09Rik
175	ENSMUSG00000104538	1700016B01Rik
176	ENSMUSG00000015962	1700016C15Rik
177	ENSMUSG00000031509	1700016D06Rik
178	ENSMUSG00000103481	1700016D08Rik
179	ENSMUSG00000104955	1700016F12Rik
180	ENSMUSG00000100625	1700016G22Rik
181	ENSMUSG00000029320	1700016H13Rik
182	ENSMUSG00000053783	1700016K19Rik
183	ENSMUSG00000101483	1700016L21Rik
184	ENSMUSG00000085609	1700016P03Rik
185	ENSMUSG00000101894	1700016P04Rik
186	ENSMUSG00000032300	1700017B05Rik
187	ENSMUSG00000024729	1700017D01Rik
188	ENSMUSG00000037884	1700017G19Rik
189	ENSMUSG00000098727	1700017I07Rik
190	ENSMUSG00000086348	1700017J07Rik
191	ENSMUSG00000107232	1700017L05Rik
192	ENSMUSG00000105651	1700017M07Rik
193	ENSMUSG00000056912	1700017N19Rik
194	ENSMUSG00000038408	1700018A04Rik
195	ENSMUSG00000103616	1700018A14Rik
196	ENSMUSG00000107368	1700018A23Rik
197	ENSMUSG00000031809	1700018B08Rik
198	ENSMUSG00000037910	1700018B24Rik
199	ENSMUSG00000029620	1700018F24Rik
200	ENSMUSG00000100075	1700018L02Rik
201	ENSMUSG00000046145	1700018M17Rik
202	ENSMUSG00000060715	1700019A02Rik
203	ENSMUSG00000043629	1700019D03Rik
204	ENSMUSG00000086202	1700019E08Rik
205	ENSMUSG00000107027	1700019F05Rik
206	ENSMUSG00000085416	1700019G24Rik
207	ENSMUSG00000059695	1700019M22Rik
208	ENSMUSG00000026931	1700019N19Rik
209	ENSMUSG00000099808	1700019P21Rik
210	ENSMUSG00000027409	1700020A23Rik
211	ENSMUSG00000100937	1700020D05Rik
212	ENSMUSG00000101801	1700020G17Rik
213	ENSMUSG00000085438	1700020I14Rik
214	ENSMUSG00000035085	1700020L24Rik
215	ENSMUSG00000100146	1700020M21Rik
216	ENSMUSG00000050844	1700020N01Rik
217	ENSMUSG00000059690	1700020N15Rik
218	ENSMUSG00000100253	1700020N18Rik
219	ENSMUSG00000037535	1700021A07Rik
220	ENSMUSG00000105426	1700021F02Rik
221	ENSMUSG00000019797	1700021F05Rik
222	ENSMUSG00000027518	1700021F07Rik
223	ENSMUSG00000107053	1700021F13Rik
224	ENSMUSG00000086890	1700021J08Rik
225	ENSMUSG00000086955	1700021L23Rik
226	ENSMUSG00000087343	1700021N21Rik
227	ENSMUSG00000096796	1700021P04Rik
228	ENSMUSG00000038165	1700022A21Rik
229	ENSMUSG00000099751	1700022A22Rik
230	ENSMUSG00000099983	1700022E09Rik
231	ENSMUSG00000099360	1700022H16Rik
232	ENSMUSG00000028451	1700022I11Rik
233	ENSMUSG00000097523	1700022N22Rik
234	ENSMUSG00000087393	1700023C21Rik
235	ENSMUSG00000100000	1700023F02Rik
236	ENSMUSG00000020940	1700023F06Rik
237	ENSMUSG00000103503	1700023G09Rik
238	ENSMUSG00000089827	1700023H06Rik
239	ENSMUSG00000052334	1700024B05Rik
240	ENSMUSG00000099994	1700024B18Rik
241	ENSMUSG00000072473	1700024G13Rik
242	ENSMUSG00000069890	1700024J04Rik
243	ENSMUSG00000045022	1700024P04Rik
244	ENSMUSG00000106947	1700025A08Rik
245	ENSMUSG00000101113	1700025B11Rik
246	ENSMUSG00000078935	1700025C18Rik
247	ENSMUSG00000086760	1700025D23Rik
248	ENSMUSG00000024728	1700025F22Rik
249	ENSMUSG00000100558	1700025F24Rik
250	ENSMUSG00000032666	1700025G04Rik
251	ENSMUSG00000101888	1700025H01Rik
252	ENSMUSG00000099747	1700025K24Rik
253	ENSMUSG00000100175	1700025M24Rik
254	ENSMUSG00000090200	1700025N21Rik
255	ENSMUSG00000100121	1700025N23Rik
256	ENSMUSG00000028244	1700025O08Rik
257	ENSMUSG00000086379	1700026D11Rik
258	ENSMUSG00000101854	1700026F02Rik
259	ENSMUSG00000073976	1700026J12Rik
260	ENSMUSG00000097716	1700026J14Rik
261	ENSMUSG00000084864	1700027A07Rik
262	ENSMUSG00000101968	1700027A15Rik
263	ENSMUSG00000100911	1700027F09Rik
264	ENSMUSG00000100799	1700027H10Rik
265	ENSMUSG00000098304	1700027I24Rik
266	ENSMUSG00000099417	1700028B04Rik
267	ENSMUSG00000101683	1700028D13Rik
268	ENSMUSG00000097321	1700028E10Rik
269	ENSMUSG00000056821	1700028I16Rik
270	ENSMUSG00000038782	1700028J19Rik
271	ENSMUSG00000089798	1700028K03Rik
272	ENSMUSG00000101334	1700028M03Rik
